State Name,State Abbreviation,State FIPS,Opioid Claims,Fee-for-Service Opioid Claims,Managed Care Opioid Claims,Long-Acting Opioid Claims,Fee-for-Service Long-Acting Opioid Claims,Managed Care Long-Acting Opioid Claims,Overall Claims,Fee-for-Service Overall Claims,Managed Care Overall Claims,Opioid Prescribing Rate,Fee-for-Service Opioid Prescribing Rate,Managed Care Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Fee-for-Service Long-Acting Opioid Prescribing Rate,Managed Care Long-Acting Opioid Prescribing Rate
National,,,"33,422,522","15,334,279","18,088,243","2,508,754","1,288,140","1,220,614","501,002,691","235,141,689","265,861,002",6.67,6.52,6.80,7.51,8.40,6.75
Alabama,AL,01,"504,324","504,324",0,"20,446","20,446",0,"8,306,380","8,306,380",0,6.07,6.07,,4.05,4.05,
Alaska,AK,02,"69,853","69,853",0,"7,689","7,689",0,"865,816","865,816",0,8.07,8.07,,11.01,11.01,
Arizona,AZ,04,"1,120,106","8,280","1,111,826","120,732",651,"120,081","12,248,771","33,691","12,215,080",9.14,24.58,9.10,10.78,7.86,10.80
Arkansas,AR,05,"291,737","291,737",0,"11,972","11,972",0,"4,353,274","4,353,274",0,6.70,6.70,,4.10,4.10,
California,CA,06,"3,000,477","1,095,604","1,904,873","223,998","114,085","109,913","48,341,735","20,345,050","27,996,685",6.21,5.39,6.80,7.47,10.41,5.77
Colorado,CO,08,"516,437","516,437",0,"48,253","48,253",0,"4,535,401","4,535,401",0,11.39,11.39,,9.34,9.34,
Connecticut,CT,09,"527,677","527,677",0,"46,612","46,612",0,"7,446,035","7,446,035",0,7.09,7.09,,8.83,8.83,
Delaware,DE,10,"182,859","182,859",0,"30,184","30,184",0,"2,162,727","2,036,124","126,603",8.46,8.98,0.00,16.51,16.51,
District of Columbia,DC,11,"105,514","46,526","58,988","3,849","3,410",439,"1,942,377","817,750","1,124,627",5.43,5.69,5.25,3.65,7.33,0.74
Florida,FL,12,"1,470,936","797,044","673,892","117,642","60,098","57,544","26,011,716","15,586,027","10,425,689",5.65,5.11,6.46,8.00,7.54,8.54
Georgia,GA,13,"1,077,783","602,088","475,695","50,183","42,360","7,823","15,515,646","7,661,431","7,854,215",6.95,7.86,6.06,4.66,7.04,1.64
Hawaii,HI,15,"163,469","1,317","162,152","17,054",0,"17,054","1,993,715","3,812","1,989,903",8.20,34.55,8.15,10.43,0.00,10.52
Idaho,ID,16,"172,723","172,723",0,"15,333","15,333",0,"2,029,519","2,029,519",0,8.51,8.51,,8.88,8.88,
Illinois,IL,17,"941,101","854,127","86,974","37,649","31,701","5,948","16,465,412","14,688,676","1,776,736",5.72,5.81,4.90,4.00,3.71,6.84
Indiana,IN,18,"966,389","966,176",213,"81,653","81,653",0,"10,891,458","10,760,542","130,916",8.87,8.98,0.16,8.45,8.45,0.00
Iowa,IA,19,"244,864","244,864",0,"14,939","14,939",0,"4,026,135","4,014,009","12,126",6.08,6.10,0.00,6.10,6.10,
Kansas,KS,20,"75,358","2,774","72,584","5,672",268,"5,404","974,214","47,480","926,734",7.74,5.84,7.83,7.53,9.66,7.45
Kentucky,KY,21,"645,535","23,803","621,732","30,225","2,345","27,880","10,631,013","774,406","9,856,607",6.07,3.07,6.31,4.68,9.85,4.48
Louisiana,LA,22,"708,737","318,115","390,622","20,749","10,051","10,698","10,623,849","5,789,099","4,834,750",6.67,5.50,8.08,2.93,3.16,2.74
Maine,ME,23,"209,822","209,822",0,"19,988","19,988",0,"2,998,896","2,998,896",0,7.00,7.00,,9.53,9.53,
Maryland,MD,24,"752,527","52,264","700,263","70,053","7,161","62,892","10,182,597","3,288,306","6,894,291",7.39,1.59,10.16,9.31,13.70,8.98
Massachusetts,MA,25,"676,815","327,879","348,936","71,884","35,654","36,230","11,860,763","6,370,065","5,490,698",5.71,5.15,6.36,10.62,10.87,10.38
