State Name,State Abbreviation,State FIPS,Opioid Claims,Fee-for-Service Opioid Claims,Managed Care Opioid Claims,Long-Acting Opioid Claims,Fee-for-Service Long-Acting Opioid Claims,Managed Care Long-Acting Opioid Claims,Overall Claims,Fee-for-Service Overall Claims,Managed Care Overall Claims,Opioid Prescribing Rate,Fee-for-Service Opioid Prescribing Rate,Managed Care Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Fee-for-Service Long-Acting Opioid Prescribing Rate,Managed Care Long-Acting Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Fee-for-Service Opioid Prescribing Rate,Change in Managed Care Opioid Prescribing Rate,Change in Long-Acting Opioid Prescribing Rate ,Change in Fee-for-Service Long-Acting Opioid Prescribing Rate ,Change in Managed Care Long-Acting Opioid Prescribing Rate 
National,,,"36,798,295","15,112,202","21,686,093","2,647,856","1,202,231","1,445,625","563,179,483","233,834,173","329,345,310",6.53,6.46,6.58,7.20,7.96,6.67,-0.14,-0.06,-0.22,-0.31,-0.44,-0.08
Alabama,AL,01,"450,979","450,979",0,"18,684","18,684",0,"7,083,919","7,083,919",0,6.37,6.37,,4.14,4.14,,0.30,0.30,,0.09,0.09,
Alaska,AK,02,"70,703","70,703",0,"7,629","7,629",0,"841,188","841,188",0,8.41,8.41,,10.79,10.79,,0.34,0.34,,-0.22,-0.22,
Arizona,AZ,04,"1,177,554","15,713","1,161,841","119,183","1,124","118,059","12,804,820","63,452","12,741,368",9.20,24.76,9.12,10.12,7.15,10.16,0.06,0.18,0.02,-0.66,-0.71,-0.64
Arkansas,AR,05,"370,772","370,772",0,"14,406","14,406",0,"4,835,039","4,835,039",0,7.67,7.67,,3.89,3.89,,0.97,0.97,,-0.21,-0.21,
California,CA,06,"3,935,724","1,423,690","2,512,034","247,333","120,110","127,223","61,513,011","24,755,333","36,757,678",6.40,5.75,6.83,6.28,8.44,5.06,0.19,0.36,0.03,-1.19,-1.97,-0.71
Colorado,CO,08,"788,748","788,748",0,"63,682","63,682",0,"6,877,329","6,877,329",0,11.47,11.47,,8.07,8.07,,0.08,0.08,,-1.27,-1.27,
Connecticut,CT,09,"553,222","553,222",0,"50,985","50,985",0,"8,141,789","8,141,789",0,6.79,6.79,,9.22,9.22,,-0.30,-0.30,,0.39,0.39,
Delaware,DE,10,"179,887","179,887",0,"29,476","29,476",0,"2,217,848","2,062,479","155,369",8.11,8.72,0.00,16.39,16.39,,-0.35,-0.26,0.00,-0.12,-0.12,
District of Columbia,DC,11,"106,300","44,898","61,402","4,286","3,683",603,"2,035,602","774,665","1,260,937",5.22,5.80,4.87,4.03,8.20,0.98,-0.21,0.11,-0.38,0.38,0.87,0.24
